,precision,recall,f1-score,support
Bacterial_spot,0.9285714285714286,0.9057377049180327,0.91701244813278,732.0
Early_blight,0.9302325581395349,0.8709175738724728,0.8995983935742972,643.0
Late_blight,0.8606356968215159,0.8888888888888888,0.8745341614906832,792.0
Leaf_Mold,0.928,0.9418132611637348,0.9348556077904634,739.0
Septoria_leaf_spot,0.9351851851851852,0.8123324396782842,0.8694404591104734,746.0
Spider_mites Two-spotted_spider_mite,0.9534368070953437,0.9885057471264368,0.9706546275395034,435.0
Target_Spot,0.9117043121149897,0.9715536105032823,0.940677966101695,457.0
Tomato_Yellow_Leaf_Curl_Virus,0.9837728194726166,0.9738955823293173,0.9788092835519677,498.0
Tomato_mosaic_virus,0.9689655172413794,0.9623287671232876,0.9656357388316151,584.0
healthy,0.9705882352941176,0.9838509316770186,0.9771745835903763,805.0
powdery_mildew,0.7469135802469136,0.9603174603174603,0.8402777777777778,252.0
accuracy,0.9253329343109382,0.9253329343109382,0.9253329343109382,0.9253329343109382
macro avg,0.9198187400166385,0.9327401788725651,0.9244246406810576,6683.0
weighted avg,0.9276749663552503,0.9253329343109382,0.925282842977796,6683.0
